Login,Malayalam,Ward No.,Ward Name,Elected Members,Role,Party,Reservation
,,13.0,KADAMANKULAM,PREETHA PRASAD,Member,CPI(M),Woman
,,14.0,MUNDAKKAYAM EAST,MARYKUTTY JOSEPH,Member,CPI,Woman
,,1.0,Kottukunnam,BHASI S,Member,CPI(M),General
,,2.0,Nellanad,ABHILASH R,Member,INC,General
,,3.0,Kanthalakonam,RAJENDRAN NAIR G,Member,CPI(M),General
,,4.0,Keezhayikonam,VIJAYAN C,Member,CPI(M),SC
,,5.0,Thottumpuram,SAJI VARGHESE,Member,INC,Woman
,,6.0,Mailackal,SARALA KUMARI S,Member,INC,Woman
,,7.0,Venjaramood,USHAKUMARI R,Member,CPI(M),Woman
,,8.0,Manickamangalam,SUNIL D,Member,CPI(M),General
,,9.0,Puthoor,NISHA S,Member,INC,Woman
,,10.0,Valiyakattackal,SUDHEER S,Member,INC,General
,,11.0,Kavara,VILASINI S,Member,CPI(M),Woman
,,12.0,Mukkunnoor,APPUKUTTAN PILLAI R,Vice President,INC,General
,,13.0,Muroorkonam,ANITHA MAHESAN,President,CPI(M),SC Woman
,,14.0,Alanthara,BEENA RAJENDRAN,Member,INC,Woman
,,15.0,Mandapakunnu,MAHESH J S,Member,INDEPENDENT,General
,,16.0,Parameswaram,SAILAJA S KURUP,Member,INC,Woman
,,1.0,CHETTIKULAM,VANAJA RAMESH,Member,SJ(D),Woman
,,2.0,KOTTAMANGALAM,THANKAVELU K,Member,SJ(D),General
,,3.0,ATHIKODE,SUSHEELA N,Member,CPI(M),Woman
,,4.0,SANKARACHAMPALAYAM,RAMACHANDRAN A,Member,SJ(D),General
,,5.0,MATTUMANTHA,SURENDRAN P,Vice President,INC,General
,,6.0,MANAMKUTTY,MINI MURALI,President,SJ(D),Woman
,,7.0,PARAKKAL,SUMATHI V,Member,INC,SC Woman
,,8.0,METTUKKADA,NEELAKANDESWARY DHARMAN,Member,SJ(D),Woman
,,9.0,KANAKKANPARA,SADANANDAN A,Member,INC,General
,,10.0,VAKINICHALLA,ANANDAKRISHNAN M,Member,SJ(D),General
,,11.0,KENAMPULLY,MOHANDAS P,Member,INC,SC
,,12.0,MANCHIRA,MUTHU K,Member,CPI,General
,,13.0,CHANDANAPURAM,SREEJITH KUMAR C A,Member,CPI(M),General
,,14.0,PANNIPERUNTHALA,JAYA SURESH,Member,SJ(D),Woman
,,15.0,KOTTAPPALAM,HARIDAS P,Member,CPI(M),General
,,16.0,THEKKUMURI,SOWDAMINI N,Member,CPI(M),SC Woman
,,17.0,KALAYAMKULUMB,SATHIDEVI T,Member,INDEPENDENT,Woman
,,18.0,NADUTHARA,GEETHA K,Member,INC,Woman
,,19.0,VADAKKANTHRA,LATHA V,Member,INC,Woman
,,1.0,PADINJATTINKARA,MARY THOMAS,Member,INDEPENDENT,Woman
,,2.0,KANIYAKKAD,GIGI JACOB,Vice President,KC(M),Woman
,,3.0,ALLUNKALKUNNU,JAYA RAJU,Member,KC(M),Woman
,,4.0,PULIYANNOOR,PUSHPA CHANDRAN,Member,INDEPENDENT,Woman
,,5.0,PULIYANNOOR SOUTH,RAJAN MUNDAMATTOM,Member,KC(M),General
,,6.0,KADAPPATTOOR,VINEETH T.T,Member,INDEPENDENT,SC
,,7.0,VELLIAPPALLY,RANJEET G,Member,INDEPENDENT,General
,,8.0,MEENACHIL,JESSY ANTONY,Member,KC(M),Woman
,,9.0,PANTHATHALA,THOMAS VARKEY,Member,KC(M),General
,,10.0,MUTHOLY,JOSE PALAMATOM,Member,KC(M),General
,,11.0,NEYYOOR,PHILOMINA PHILIP,Member,INC,Woman
,,12.0,THEKKUMMURY,BEENA JOHNS,Member,INC,Woman
,,13.0,THEKKUMMURY NORTH,SEBASTIAN,President,INC,General
,,1.0,MAHADEVIKAD NORTH,B. DEEPAK .,Member,INDEPENDENT,General
,,2.0,MAHATHMA GANDHI SMARAKA VAYANASALA WARD,M.SIVARAMAN,Member,CPI(M),SC
,,3.0,VALIYAKULANGARA NORTH,SREEKALA,Member,INC,Woman
,,4.0,PUTHUKUNDOM WEST,ALLYRANI.S,Member,CPI(M),Woman
,,5.0,PUTHUKUNDOM,AMBIKA REGHU,Member,CPI(M),Woman
,,6.0,VETTUVENI,SMITHA PRADEEP,Member,INC,Woman
,,7.0,K.S.R.T.C BUS STAND,VRINDA.S.KUMAR,Member,INC,Woman
,,8.0,SURESH MARKET,SASI KUMARAN NAIR,Member,INC,General
,,9.0,PUTHUKUNDOM EAST,P. VINODINI,Member,CPI,General
,,10.0,KARTHIKAPPALLY,JIMMI. V.KAIPPALLI,Member,CPI(M),General
,,11.0,VALIYAKULANGARA EAST,SREENI BODHI SATHAMAN,Member,INC,Woman
,,12.0,VALIYAKULANGARA WEST,G.RENJITH,Member,INC,General
,,13.0,S.N.D.P.H.S,K.N.THAMPI,Vice President,CPI(M),General
,,14.0,MAHAKAVI KUMARANASAN SMARAKA VAYANASALA,R. AMBILI,President,CPI(M),Woman
,,1.0,KIZHISSERI NORTH,FATHIMA SUHARA A,Member,IUML,Woman
,,2.0,NEERUTIKAL,P. KUNHUNNI,Member,IUML,SC
,,3.0,MUNDAMPARAMBA WEST,C.P.MOOSSAKKUTTY,Member,IUML,General
,,4.0,MUNDAMPARAMBA,MARIYUMMA.K,Member,IUML,Woman
,,5.0,KADUNGALLUR,SUHARA TEACHER,President,IUML,Woman
,,6.0,CHIRAPPALAM,RUGMINI.K.P,Member,INC,Woman
,,7.0,AKAPPARAMBA,ABDURAHIMAN.M (MANUTTY),Member,INC,General
,,8.0,PULIYACODE,K.K.UNNIMOYIN MAMMARAKKOTIL,Member,IUML,General
,,9.0,MELMURI,SHYLA GAFOOR,Member,IUML,Woman
,,10.0,KUZHIYAMPARAMBA,ABDUL KAREEM (BAVA) V,Member,CPI(M),General
,,11.0,KUZHIMANNA,ABDUL RASAK HAJI. KUNNAKKAD,Member,IUML,General
,,12.0,KUZHIMANNA SOUTH,P.K.KUNHIMMU(KUNHAPPU),Vice President,IUML,General
,,13.0,PULLANCHERI,VIBHU VALASSERY,Member,CPI(M),General
,,14.0,EKKAPARAMBA,K.NASEERA,Member,IUML,Woman
,,15.0,MELE KIZHISSERI,PARASSEERI AYISHABI,Member,IUML,Woman
,,16.0,KIZHISSERI TOWN,MINI .P,Member,IUML,SC Woman
,,17.0,KIZHISSERI WEST,K.RADHA,Member,INC,Woman
,,18.0,KUZHINHOLAM,PARASHEERI ALAVI,Member,IUML,General
,,1.0,PATHIRAPPATTA WEST,RADHIKA A.K,Member,JD(S),Woman
,,2.0,PATHIRAPPATTA EAST,RADHIKA CHIRAYIL,President,CPI(M),Woman
,,3.0,PILACHERI,SASINDRAN KUNIYIL,Member,CPI(M),General
,,4.0,MURUVASSERY,NANUMASTER P,Vice President,CPI(M),General
,,5.0,MOKERI EAST,SREEDHARAN KALLUPARAMBATH,Member,CPI(M),General
,,6.0,MOKERI WEST,VIJAYAN S P,Member,CPI(M),SC
,,7.0,VATTOLI,SAJITHA C.P,Member,INDEPENDENT,Woman
,,8.0,MATHUKKUNNU,PRASEED THEKKAYIL,Member,CPI(M),General
,,9.0,KAKKATTIL SOUTH,MOOSA V.P,Member,INC,General
,,10.0,KUNNUMMAL,JASEELA V.K,Member,IUML,Woman
,,11.0,KAKKATTIL NORTH,PRIYA K.M,Member,CPI,Woman
,,12.0,OTHAYOTH,VANAJA OTHAYOTH,Member,INC,Woman
,,13.0,KUNDUKADAVU,SARALA K.K,Member,CPI(M),Woman
,,1.0,KADANKODE,JUVARIA K,Member,IUML,Woman
,,2.0,PURATHEEL,RASEENA C . V,Member,IUML,Woman
,,3.0,VALIYANNUR NORTH,SHEEBA R . K,Member,CPI(M),Woman
,,4.0,CHELORA NORTH,BINDU JAYARAJ,Member,CPI(M),Woman
,,5.0,MACHERY,PREETHA K . K,Member,CPI(M),Woman
,,6.0,MACHERY EAST,SREELATHA V.K,Member,INC,Woman
,,7.0,PALLIPOYIL,MINI ANILKUMAR,Member,INC,Woman
,,8.0,CHELORA,N.V PURUSHOTHAMAN,President,CPI(M),General
,,9.0,KAPPAD,DHANESH BABU M.K,Member,INC,General
,,10.0,PERINGALAYI,K BHASKARAN,Member,CPI(M),General
,,11.0,THILANNUR SATHRAM,K PAVITHRAN,Member,CPI(M),General
,,12.0,THANKEKKUNNU,MURALI D,Member,CPI(M),SC
,,13.0,THILANNUR,MUSTHAFA T.K,Member,CPI(M),General
,,14.0,VALANNUR,C.C GANGADHARAN,Member,CPI(M),General
,,15.0,MATHUKKOTH,K. KAMALAKSHI,Member,CPI(M),Woman
,,16.0,VALIYANNUR,ROJA K,Vice President,CPI(M),Woman
,,17.0,THAKKALIPEEDIKA,FAIZAL VELLUVAKKANDI,Member,IUML,General
,,18.0,VARAM,M. M JANARDHANAN,Member,CPI(M),General
,,19.0,VARAM CENTER,P . A HARI,Member,INC,General
,,20.0,PALLIPRAM,UMAIBA A,Member,IUML,Woman
,,1.0,PULICKALKAVALA,GEORGE VARGHESE,Member,INC,General
,,2.0,NEDUMAVU,OMANA ARAVINDASHAN,Member,KC,Woman
,,3.0,VAIRAMALA,M.C MATHEW,Member,CPI(M),General
,,4.0,CHENKAL,PUSHPAMMA MATHEW,Member,KC,Woman
,,5.0,THEKKANIKKADU,V.P REJI,Member,CPI(M),General
,,6.0,SASTHAMKAVU,RAVEENDRAN NAIR K.N,Member,KC(M),General
,,7.0,AREECKAL,PROF: PUSHKALADEVI,Member,CPI(M),Woman
,,8.0,KODUNGOOR,LEELAMANI BALACHANDRAN,Member,BJP,Woman
,,9.0,T.P PURAM,SHANIDA ASHRAF,Member,INDEPENDENT,Woman
,,10.0,ELAMGOY,THOMAS VETTUVELIL,President,INDEPENDENT,General
,,11.0,CHAMPAMPATHAL,ROSAMMA KARINGANAD,Member,CPI,Woman
,,12.0,KANAM,C.N KUMARAN,Member,CPI(M),SC
,,13.0,KANDRACHI,MANOJ V.N,Member,BJP,General
,,14.0,KAPPUKKADU,THANKAMMA ALEX,Vice President,CPI,Woman
,,15.0,CHELLEMATTAM,JOSE K CHERIAN,Member,INC,General
,,16.0,ERUMATHALA,USHA KUMARI,Member,INC,Woman
,,1.0,KAPPADAM,SHAIJU V K,Member,INC,General
,,2.0,MARUTHUMKADU,DELY JOHN,Member,INC,Woman
,,3.0,VAKKODE,RADHA LAKSHMANAN,Member,INC,SC
,,4.0,KALLADIKKODE,P K MUHAMMADALI,Member,CPI(M),General
,,5.0,KALIPPARAMBU,BEENA CHANDRAKUMAR,Member,BJP,Woman
,,6.0,KOORIKKUNNU,SUJA,Member,CPI(M),Woman
,,7.0,CHOORAKKODE,VALSALA M,Member,INC,Woman
,,8.0,PARAKKAD,RAMEEJA P,Vice President,INDEPENDENT,Woman
,,9.0,MELEMADAM,M K MUHAMED IBRAHIM,Member,INC,General
,,10.0,KANJIRANI,K KOMALAKUMARI,Member,CPI(M),General
,,11.0,KUTTIYODE,DAMODARAN T,Member,INDEPENDENT,General
,,12.0,VETTAM,T K RASIYA,Member,IUML,Woman
,,13.0,CHERULLI,P K ABDULLAKUTTY,Member,IUML,General
,,14.0,PANAYAMPADAM,SUJATHA K,Member,CPI(M),Woman
,,15.0,KALIYODE,ANTONY MATHIPPURAM,President,INC,General
,,16.0,EDAKKURUSSI,LAKSHMI VESUKUTTAN,Member,INC,SC Woman
,,17.0,PALALAM,VASANTHAKUMARI,Member,INC,Woman
,,1.0,VATTAPARAMBU,JAMSIYA,Member,IUML,Woman
,,2.0,CHATHRATHODI,DASSAN THIRUKKAN,Member,INC,SC
,,3.0,KAKKATHADAM,KUNJAPPUTTY KT,President,IUML,General
,,4.0,ELLATHUMADU,VILASINI PADINCHATTIPARAMBIL,Vice President,INC,Woman
,,5.0,UNGUGAL,SEENATH,Member,IUML,Woman
,,6.0,NADUKARA,ABDUL AZEEZ` LAKAL,Member,INDEPENDENT,General
,,7.0,SIDEEQUABAD,KADEEJA PP,Member,IUML,Woman
,,8.0,PENGATTUKUNDU,FATHIMATH SHAMEENA,Member,IUML,Woman
,,9.0,POTTAMMALMADU,MOIDEEN KUTTY CHOKLI,Member,INC,General
,,10.0,KOLLAMCHINA,A P M ASHRAF,Member,IUML,General
,,11.0,PANNIYATHUMADU,SHAHIDA P,Member,IUML,Woman
,,12.0,PARAMBILPEEDIKA,HABEEBA LATHEEF,Member,IUML,Woman
,,13.0,MENGOLIMADU,FOUSIYA C.C,Member,IUML,Woman
,,14.0,OTTAPILAKKAL,HASSAN KOYA KT,Member,IUML,General
,,15.0,POOVATHUMADU,BALQEES CHEMBAN,Member,IUML,Woman
,,16.0,SOOPARBAZAR,MOIDEEN KUTTY HAJI CHEMBAN,Member,INC,General
,,17.0,KALATHINGAL,ABDUL RAHIMAN ERUMBAN,Member,CPI,General
,,18.0,SHANKARAMADU,PRASHEELATHA PALLIKARA,Member,CPI(M),Woman
,,19.0,VADAKEELMADU,MOHAMMED ALI A,Member,IUML,General
,,1.0,ARATTUPUZHA,SUDHA SURESH,Vice President,INC,SC Woman
,,2.0,MALAKKARA,N.S. KUMAR (MAKKAN),Member,INC,General
,,3.0,KOTTAYKAKOM,JOSE THOMAS,Member,INC,General
,,4.0,EDAYARANMULA VADAKKU,LETHIKA,Member,BJP,Woman
,,5.0,KALARIKKODU,P.R. LATHA,Member,CPI(M),SC Woman
,,6.0,ARANMULA PADINJARU,PRASAD VERUNKAL,Member,CPI,General
,,7.0,ARANMULA KIZHAKKU,P.M.SIVAN,Member,INC,General
,,8.0,NALKALIKKAL,DEEPA NAIR,Member,INC,Woman
,,9.0,KIDANGANNOOR,THANKACHAN KAKKANADU,President,INC,General
,,10.0,MANAPPALLI,SHIJA.T.TOJI,Member,INC,Woman
,,11.0,GURUKKANKUNNU,PUSHPA SREEKUMAR,Member,KC(M),Woman
,,12.0,ERUMAKKADU,KESAVAN( THANKACHAN KATTIRIKKAL,Member,INC,SC
,,13.0,VALLANA,K.K. NANU,Member,CPI(M),SC
,,14.0,KOTTA KIZHAKKU,BEENA KUTTAPPAN,Member,CPI(M),Woman
,,15.0,KOTTA PADINJARU,USHA REJENDRAN NAIR,Member,INC,Woman
,,16.0,KURICHIMUTTAM THEKKU,P.B. SATHEESH KUMAR,Member,CPI(M),General
,,17.0,KURICHIMUTTAM VADAKKU,N.R.NARAYANA PILLAI,Member,CPI(M),General
,,18.0,NEERVILAKOM,GEETHA RADHAKRISHNAN,Member,CPI(M),Woman
,,1.0,PONNAMALA,THOMAS THOMAS,Vice President,KC(M),General
,,2.0,MANJAPPETTY,ALICE THOMAS,Member,INC,Woman
,,3.0,CHARALMEDU,PAPPAN MOOLEKALATHIL,Member,INC,General
,,4.0,KALKOONTHAL,MAHESWARAN M.S.,Member,INC,General
,,5.0,KAILASAPPARA,MATHEW K.J.,Member,INC,General
,,6.0,ILLIKKANAM,MINI MARKOSE,Member,CPI,Woman
,,7.0,KOMBAYAR,SYAMALA VISWANATHAN,President,INC,Woman
,,8.0,PALAR,JAYAPRASAD V,Member,CPI(M),General
,,9.0,PUSHPAKANDOM,OMANA VIJAYAN,Member,INDEPENDENT,Woman
,,10.0,CHENNAPPARA,VIJAYAKUMARY S. BABU,Member,CPI(M),Woman
,,11.0,CHOTTUPARA,SUMESH KUMAR CHELLAPPAN,Member,INC,SC
,,12.0,THOOKKUPALAM,SUKUMARAN NAIR K.R.,Member,INC,General
,,13.0,KALLUMEKALLU,THANKAMMA SUKUMARAN,Member,CPI,Woman
,,14.0,THANNIMOODU,LEELAMMA JOSE,Member,INC,Woman
,,15.0,KALLAR,BINDHU SAHADEVAN,Member,CPI(M),Woman
,,16.0,NEDUMKANDOM EAST,JINSON POUVATHU,Member,KC(M),General
,,17.0,NEDUMKANDOM WEST,SHIBU RAJAN,Member,INDEPENDENT,General
,,18.0,KOUNTHI,AMBILY JOSEPH,Member,INC,Woman
,,19.0,EZHUKUMVAYAL,PREEMY LALICHAN,Member,KC(M),Woman
,,20.0,PACHADY,SIGI SHAJU,Member,KC(M),Woman
,,21.0,PATHUVALAVU,SIJO N.J.,Member,KC(M),General
,,22.0,MANJAPPARA,RAJESH JOSEPH,Member,INDEPENDENT,General
,,1.0,MIDIYERI,SAJITH T,Member,CPI(M),General
,,2.0,ANCHUKANDAM,SURENDRAN A,Member,IUML,SC
,,3.0,KEERIYANGADI,NOCHAT KUNJABULA,Member,IUML,General
,,4.0,THANEERPANTHAL,T.B MANAF MASTER,Member,IUML,General
,,5.0,KATAMERI,USHA NALUPURAKKAL,Member,INC,Woman
,,6.0,KAMICHERI,KANNOTH BABY,Member,INC,Woman
,,7.0,MUKKADATHUMVAYAL,T.N ABDUL NASAR,President,INC,General
,,8.0,THAROPPOYIL,THAYYIL ASYA TEACHER,Vice President,IUML,Woman
,,9.0,PANTHAPPOYIL,SHEEMA T,Member,CPI(M),Woman
,,10.0,KUTTIYADIPPOYIL,P.K SAJITHA,Member,CPI(M),Woman
,,11.0,NALOMKOROL,SHYBA MALLIVEETIL,Member,INC,Woman
,,12.0,KATAMERI WEST,ARAYAKKOOL SANTHA,Member,INC,Woman
,,13.0,MANGALADU,ABDULA PUTHIYATATH,Member,IUML,General
,,14.0,POYILPARA,K.M KUNHIRAMAN MASTER,Member,CPI(M),General
,,15.0,KUTTIVAYAL,NANU M.K,Member,CPI(M),General
,,16.0,KACHERIPARAMBU,REENARAJAN P.M,Member,SJ(D),Woman
,,17.0,PONMERI,VIMALA NALLOOKKARA,Member,CPI,Woman
,,1.0,VADAKKE POILUR,KARUNAKARAN T.P,Member,BJP,General
,,2.0,PARAYULLAPARAMB,PRASEETHA B.V,Member,BJP,Woman
,,3.0,PULLAYITHOD,SHYRINA.P,Member,SJ(D),Woman
,,4.0,CHAMATHAKAD,V.P.SURENDRAN,Member,BJP,General
,,5.0,VILAKOTTUR EAST,BALAN KOLLUMMAL,Vice President,INC,General
,,6.0,CENTRAL POILUR,T.K.SANKARAN MASTER,Member,CPI(M),General
,,7.0,VATTAPOYILUMMAL,E.P BIJU,Member,BJP,SC
,,8.0,THEKKUM MURI,SURESH ELEMPILTHOTTATHIL,Member,INC,General
,,9.0,VILAKOTTUR WEST,G.KUNHIRAMAN MASTER,Member,INDEPENDENT,General
,,10.0,CHETTAKKANDI,V.K RAJILA TEACHER,Member,CPI(M),Woman
,,11.0,KALLIKKANDI,M K SAFEERA,Member,IUML,Woman
,,12.0,UTHUKUMMAL,DR.SALMA MAHMOOD,President,IUML,Woman
,,13.0,MUNDATHOD,EDAVANA SHAREEFA,Member,IUML,Woman
,,14.0,ERANJINKEEZHIL,SAKKEENA THEKKAYIL,Member,IUML,Woman
,,15.0,KURUNGAD,NELLUR ESMAIL MASTER,Member,IUML,General
,,16.0,KADAVATHUR TOWN,SHIRMILA C P,Member,INC,Woman
,,17.0,HIGH SCHOOL WARD,ISMAYIL MASTER,Member,IUML,General
,,18.0,KEERIYAVU,NASEEMA,Member,IUML,Woman
,,1.0,KADAPPURAM,A.A.SURESH BABU,Member,CPI(M),General
,,2.0,JAIHIND,MINI SUDHARSHANAN,Vice President,INC,Woman
,,3.0,HIGH SCHOOL,PRASHEELA SABU,Member,INC,Woman
,,4.0,CHURCH,SHEEBA JOSEPH,Member,KC(M),Woman
,,5.0,CONVENT,P.P. GANDHI (RAJEEVRAM),Member,INC,SC
,,6.0,OODARAKKAL,FRANCIS .T.T.,Member,INC,General
,,7.0,KALLUMADOM-VALIYAVATTOM,N.A.GEORGE,Member,CPI(M),General
,,8.0,MANJANAKAD,STEPHAN RODRIGUES,Member,INC,General
,,9.0,APPANGAD NORTH,JUDE PULICKAL,President,INC,General
,,10.0,APPANGAD SOUTH,P.V.S.DASAN,Member,INC,General
,,11.0,PERUMPILLY,DAISY JAMES,Member,INC,Woman
,,12.0,THARISHU,JALAJA SANTHOSHKUMAR,Member,INC,Woman
,,13.0,POZHIYIL,SONIYA ROSHINI BABU,Member,INC,SC Woman
,,14.0,LIGHT HOUSE,ANITHA BABU,Member,CPI(M),Woman
,,15.0,PANCHAYATH,K.M.DINESAN,Member,CPI(M),General
,,16.0,ARATTUVAZHI,JAIMINIMADHU,Member,INC,Woman
,,1.0,MUNDAKKOTTUKURUSSI,SUBAIR M,Member,INDEPENDENT,General
,,2.0,MUNDAKKOTTUKURUSSI VADAKKUMURI,SAROJINI K C,Member,CPI(M),SC Woman
,,3.0,PULINTHARA,GOVINDAN C P,Member,INC,SC
,,4.0,CHALAVARA - NORTH,ABDUL RAHIMAN P,Member,IUML,General
,,5.0,CHALAVARA - EAST,SARASWATHY P P,Member,CPI(M),Woman
,,6.0,PULIYANAMKUNNU,KANAKAMBIKA P,Member,CPI(M),Woman
,,7.0,CHALAVARA,PREETHA C,Vice President,CPI(M),Woman
,,8.0,THEKKARAPPARA,VIMALA E P,Member,CPI(M),SC Woman
,,9.0,PAZHAYA VILLAGE,REMADEVI N,Member,CPI(M),Woman
,,10.0,KAYLIAD MELMURI,SUBHA P,Member,CPI(M),Woman
,,11.0,VEMBALATHUPADAM,VALSALA P,Member,CPI(M),Woman
,,12.0,VELLACHEERIPARAMBU,KRISHNANKUTTY K,Member,CPI(M),General
,,13.0,KAYLIAD,HARIDASAN P,President,CPI(M),General
,,14.0,THRIKKARAMANNA,SIVADASAN M,Member,CPI(M),SC
,,15.0,MUNDAKKOTTUKURUSSI CITY,MOHANDAS N,Member,INC,General
,,1.0,KALACHAL,HARIDAS M.,Member,INDEPENDENT,SC
,,2.0,KAKKIDIKKAL,UMMER T.A,Member,IUML,General
,,3.0,KAKKIDIPPURAM,PARVATHY SREEDHARAN,Member,CPI(M),Woman
,,4.0,THACHUPARAMBU,VIJAYAN P.,Member,CPI(M),General
,,5.0,MANTHADAM,PREETHA VENUGOPAL,Member,INC,Woman
,,6.0,ALAMKODE,VAKKAYIL KUMARI VELAYUDHAN,Member,CPI(M),Woman
,,7.0,UDINUPARAMBU,PURUSHOTHAMAN A.P,Member,CPI(M),General
,,8.0,CHIYYANOOR,SHANAVAS VATTATHOOR VATTATHOOR,Member,IUML,General
,,9.0,KOKKUR NORTH,ABDUL SALAM(KUNHU),Member,INC,General
,,10.0,KOKKUR,SHAHIDA KAMAL,Member,IUML,Woman
,,11.0,KOKKUR WEST,SALMA MOHAMMEDKUTTY,Member,INDEPENDENT,Woman
,,12.0,PAVITTAPPURAM,BALKEES M.M.,Member,IUML,Woman
,,13.0,OTHALUR,SUJITHA KOTTILPADI,Vice President,INC,SC Woman
,,14.0,KIZHIKKARA,RAFEEQ K.A.,President,IUML,General
,,15.0,PALLIKKUNNU,MOHAMMED SHAREEF K.K.,Member,INDEPENDENT,General
,,16.0,CHANGARAMKULAM EAST,HALEEMA K.,Member,IUML,Woman
,,17.0,CHANGARAMKULAM WEST,SINDHU KOZHIKKARPADINJARETHIL,Member,INC,Woman
,,18.0,PERUMUKKU,SULAIMAN. T.V,Member,INC,General
,,19.0,PANTHAVOOR,PRIYA PARAMESWARAN,Member,CPI(M),Woman
,,1.0,MANIMALA,NIRMALA MANOJ KUMAR,Vice President,INC,SC Woman
,,2.0,POOVATHOLY,MERCY MATHEW,Member,KC(M),Woman
,,3.0,KARIKKATOOR CENTER,ROSELY JOSE,Member,INC,Woman
,,4.0,KONNAKULAM,JOHN JOSEPH,President,KC(M),General
,,5.0,CHARUVELI,ROSAMMA JOHN,Member,CPI(M),Woman
,,6.0,MUKKADA,BABICHAN VARGHESE,Member,INC,General
,,7.0,AALAYAMKAVALA,JAMES P.SIMON,Member,CPI(M),General
,,8.0,PONTHENPUZHA,SURESH KUMAR POOZHIKKALA,Member,CPI(M),SC
,,9.0,KARIMBANAKULAM,K M JOSEPH,Member,INC,General
,,10.0,AALAPRA,VALSALA K,Member,INC,Woman
,,11.0,VECHUKUNNU,JAMEELA P.S,Member,IUML,Woman
,,12.0,MELAKKAVALA,SHAKEELA SALIM,Member,BSP,General
,,13.0,PULICKALLU,THANKAMMA SURENDRAN,Member,KC(M),SC Woman
,,14.0,KARIKKATOOR,VINOD ANTONY,Member,INDEPENDENT,General
,,15.0,NELLITHANAM,PUSHPA KUMARI,Member,KC(M),Woman
,,1.0,PALLITHODU,JAISON PETER,Member,CPI(M),General
,,2.0,PONPURAM,PONNAN V.K,Member,CPI(M),SC
,,3.0,PARAYAKADU WEST,SUJA MARTIN,Member,JSS,Woman
,,4.0,PARAYAKADU EAST,PONNAPPAN.T.R,Vice President,CPI,General
,,5.0,THAZHUPPU,LAILA PRASANNAN,Member,INC,Woman
,,6.0,NALIKATTU,DEEPA,Member,INC,Woman
,,7.0,KUTHIATHODE TOWN,KUNJI KOYA C.M,Member,CPI(M),General
,,8.0,OFFICE WARD,P.N.SANTHA KUMARI,Member,CPI(M),Woman
,,9.0,PATTUKULANGARA,ABDUL NASSAR(NAZEER),Member,INDEPENDENT,General
,,10.0,THATTAPARAMBU,M.BASHEER,Member,INC,General
,,11.0,HOSPITAL WARD,ANILA,Member,INC,Woman
,,12.0,MUTHUPARAMB,VAHIDA KAMARUDHEEN,Member,INC,Woman
,,13.0,NALUKULANGARA,MOLI SUGUNANANDAN,President,CPI(M),Woman
,,14.0,THIRUMALA EAST,MAHESH KAMALANATHAN,Member,CPI,General
,,15.0,THIRUMALA WEST,SAJI,Member,CPI(M),General
,,16.0,P H C WARD,AJITHA TOMY,Member,CPI(M),Woman
,,1.0,VADAKKE KADAPPURAM,K. P. SHAJAHAN,Member,INC,General
,,2.0,HEALTH CENTER,M. P NASREENA RASHEED,Member,IUML,Woman
,,3.0,ANAPPADI,KOLAKKAL JAFAR,Member,INDEPENDENT,General
,,4.0,NEDUVA,PALAKKAL USHA,Member,BJP,Woman
,,5.0,VALAKKUNDU,A USMAN,Member,IUML,General
,,6.0,ULLANAM,PARIPARAMBATH SUHARABI,Member,IUML,Woman
,,7.0,THAYYILAPPADI,SHAHIDA ABDUSSAMED,Member,IUML,Woman
,,8.0,PUTHARIKKAL,FATHIMA BEEVI,Member,INDEPENDENT,Woman
,,9.0,KALIKKAVU,KHAIRUNNISA THAHIR,Member,IUML,Woman
,,10.0,PALATHINGAL,A V AYISHABEEVI,Member,IUML,Woman
,,11.0,KOTTANTHALA,C ABDURAHIMAN KUTTY,Member,IUML,General
,,12.0,ATTATHANGADI,REJEENA. V. M,Member,INC,Woman
,,13.0,POORAPPUZHA,K. C ACHUTHAN,Member,IUML,SC
,,14.0,AVIYIL BEACH,DHARMARAJAN ALIAS RAJUTTY,Member,CPI(M),General
,,15.0,SADAM BEACH,K. P SHOUKATHUNNISA,Member,IUML,Woman
,,16.0,PUTHAN PEEDIKA,T GOPALAKRISHNAN,Member,CPI(M),General
,,17.0,PARAPPANANGADI TOWN,A ZEENATH ALIBAPPU,President,IUML,Woman
,,18.0,OTTUMMAL SOUTH,P. O MOHAMMED NAYEEM,Member,IUML,General
,,19.0,ANJAPPURA,PANCHARA SAKEENA,Member,IUML,Woman
,,20.0,CHAPPAPADI,P. M HANEEFA,Member,INDEPENDENT,General
,,21.0,KOVILAKAM,P. K MOHAMMED JAMAL,Vice President,IUML,General
,,22.0,CHETTIPADI,KHADEEJA. M,Member,IUML,Woman
,,23.0,ALUNGAL,H HANEEFA,Member,IUML,General
,,1.0,MATTOOL NORTH,C.H.KHAIRUNNISA C.H,President,IUML,Woman
,,2.0,KAAVILEPPARAMBA,FAYIZA A,Member,IUML,Woman
,,3.0,SIDHIGABADH,T.V ANITHA,Member,INC,Woman
,,4.0,THEKKUMPAAD,ABOOBAKAR.K.P,Member,IUML,General
,,5.0,MAATTOL CENTRAL,SAINABA. C,Member,IUML,Woman
,,6.0,MADAKKARA EAST,K.K.EBRAHIM KUTTY,Member,IUML,General
,,7.0,MADAKKARA WEST,K.RADHAMANI,Member,INC,Woman
